time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.67461912832e-07,5.48607131356e-07,10.0071164192,0.000397221558162,0.00022185837986,0.0,-2.35504657747e-05,4.56522735071e-05,0.237194134302,0.017352394249,0.0102225396552,0.0,478.15384041843265,478.93177960371816,477.7078450613562,479.0288738576268
0.12000000000000001,-9.23506190136e-06,1.68975381628e-05,10.0264448109,0.00161275672262,0.000533015699051,0.0,-0.000330235007952,0.000626683240888,0.407039668539,0.0255161222202,-0.00750745805538,0.0,459.27031125592436,457.86208780997913,458.32277428614566,458.9710107778284
0.18,-3.87998385245e-05,9.62319371757e-05,10.0550709284,0.00339809390349,6.28297270174,0.0,-0.000593351711287,0.00219788160452,0.547106667592,0.0371126462744,-0.0247407352123,0.0,450.79035395989223,449.39595373253945,448.6944635659432,449.6350409320737
0.23999999999999996,-6.39015337525e-05,0.000312061654196,10.0922818145,0.00558008361404,6.28171572706,0.0,-9.52276126663e-05,0.00523609106631,0.693177387353,0.034831168099,-0.0142798514538,0.0,451.37443422325265,452.2177335428611,451.52833497658264,451.34484598624226
0.3,-3.57528916001e-05,0.000751989041601,10.137257247,0.00786761275002,6.28121104147,0.0,0.00110202246042,0.00965583558681,0.805928923434,0.0440104552226,0.00130219834344,0.0,440.01862909164544,441.3066187274499,441.84295173594336,442.5996683103913
0.36000000000000004,7.51205065216e-05,0.0015229980097,10.1907578915,0.011239587782,6.28120339904,0.0,0.0025893457229,0.0163898668107,0.977291693053,0.0733814857625,-0.00315212080475,0.0,460.0276153002842,459.6748206872543,458.33039878971397,460.66037448235824
0.4200000000000001,0.000277753003914,0.00278946599487,10.2552135827,0.0157127711346,6.28109709002,0.0,0.00418167534915,0.0263379544787,1.17104621995,0.0767976493569,0.00085518274347,0.0,466.72599217468024,467.0386464969928,466.36203164290885,466.63281186154745
0.48000000000000015,0.000568121072665,0.00468356814744,10.3267636825,0.019989478261,6.28097494858,0.0,0.00549978772158,0.037216630564,1.21390490201,0.0569715365467,-0.00855593800196,0.0,420.9077438274662,420.09261098851925,419.9715553998352,418.25268809891736
0.5400000000000001,0.000949592024993,0.00737864234911,10.4043462576,0.023342748947,6.28063645456,0.0,0.00726200282706,0.052990029232,1.37199601828,0.0536282134322,-0.000370886397727,0.0,456.2771005074018,456.9301093817134,456.4791399123878,456.2143226383254
0.6000000000000002,0.00145489103646,0.0112116620382,10.4963097972,0.0265191294029,6.2807327067,0.0,0.00957488503415,0.0751978516956,1.69302571349,0.0515262989691,0.00528786569786,0.0,505.0017510313433,505.4096902732765,502.9450164306212,502.7942517222416
0.6600000000000003,0.00208285247314,0.0163274289849,10.6025219295,0.0292573830249,6.28079132802,0.0,0.0113339108119,0.0956460198097,1.84713258794,0.0300045059998,-0.00945717706043,0.0,456.6317062405718,455.4540187932291,458.00988277721854,456.2962160621506
0.7200000000000003,0.00282138402916,0.0227618919164,10.7192022052,0.0308510370286,6.28046372153,0.0,0.0133337618386,0.11902420819,2.04187548929,0.0185887329686,0.00152862331291,0.0,468.0476178229051,468.90186309949024,470.6308823233849,469.7466425450898
0.7800000000000004,0.00366877586764,0.0304494024586,10.8416362673,0.0320304690506,6.28006270026,0.0,0.0149173884998,0.137325540126,2.03926032356,0.0217126293142,-0.0331025738135,0.0,409.25265504349886,406.1586442227221,406.9115863923905,407.19113352075226
0.8400000000000004,0.00462848720956,0.0392858554329,10.9648336524,0.033167983832,6.27795029767,0.0,0.0172597567144,0.157332745148,2.06726312523,0.0127870670138,-0.0397862342232,0.0,418.4339019243537,417.8510439885743,417.677807026353,416.89867248736243
0.9000000000000005,0.00578717155657,0.0494483251087,11.0928815605,0.0344992884761,6.27554506508,0.0,0.0216180242296,0.181524376984,2.2007457127,0.0363592702341,-0.0406958972794,0.0,452.00474426030723,451.9306373561825,450.34921008618943,452.25176741487314
0.9600000000000005,0.00724648298731,0.0610388611159,11.2273044851,0.0365853752913,6.27311457901,0.0,0.0272654911182,0.205031810979,2.279852141,0.0313799073111,-0.0401352294617,0.0,434.9624679388187,435.00852679464805,435.43520478075254,435.0190068447621
1.0200000000000005,0.00907656666121,0.0740254001175,11.3649844235,0.0383658067104,6.27152184512,0.0,0.0339120572806,0.228017520393,2.3094092989,0.0260232675373,-0.00798408570687,0.0,417.6942532224192,420.4882946766908,419.76363918318975,419.298877571825
1.0800000000000005,0.0113602906104,0.0885265523894,11.50709562,0.0405640858255,6.27138816579,0.0,0.0422391992931,0.255546281959,2.42737602615,0.0521675992185,0.00733040199583,0.0,446.26693902874615,447.51524614732847,447.8079646973359,449.9301166518823
1.1400000000000006,0.0141451969378,0.104739883032,11.6564973262,0.0435640158988,6.27229219725,0.0,0.0505131788128,0.285210046362,2.55239321603,0.0452659848935,0.027237816367,0.0,449.85726846447534,451.4662465232548,450.8531145892725,450.29669521834774
1.2000000000000006,0.0173807072291,0.12270339294,11.8113069661,0.0463792935107,6.27405983089,0.0,0.0571729560136,0.313830639402,2.6077889982,0.0500408723813,0.033571075415,0.0,429.32265166899595,429.85996126520826,428.53810457488424,428.9451850859512
1.2600000000000007,0.021001147324,0.142551805587,11.9718253317,0.049776197937,6.27619480622,0.0,0.0632826736051,0.348112067054,2.7424895552,0.0672817708669,0.0393294398987,0.0,454.1938315333164,454.6559383751142,453.90029770133447,455.2838537611445
